Timestamp;Map;Duration;Victory;KillingBlows;HonorKills;Deaths;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;PrestigeLevel;isRated;isBrawl;isMercenary
1585590133;566;889;false;0;1;4;10142360;11465895;222;-12;1438;1477;Guardian;92;true;false;false
1585588494;2106;1207;false;1;21;4;5377432;10000584;230;-12;1551;1478;Guardian;92;true;false;false
1585587084;2245;1029;true;1;4;2;6392180;9166128;484;14;1487;1512;Guardian;92;true;false;false
1585585872;1035;722;true;2;38;3;4176298;5364700;529;11;1428;1414;Guardian;92;true;false;false
1585584273;727;593;true;4;6;0;6155676;6357914;497;10;1374;1371;Guardian;92;true;false;false
1585583147;1035;498;false;0;9;3;5807570;6061679;166;-14;1421;1401;Guardian;92;true;false;false
1585582382;1803;488;false;0;1;3;1834474;4191104;132;-9;1530;1558;Guardian;92;true;false;true
1585581384;727;550;true;1;8;1;2935768;4019672;796;8;1462;1326;Guardian;92;true;false;false
1585505915;566;828;false;1;6;2;5503212;8661064;260;-11;1520;1505;Guardian;92;true;false;false
1585434882;566;1017;true;1;15;2;7450462;13689420;497;13;1484;1479;Guardian;92;true;false;true
1585433083;2106;838;true;2;13;0;3615995;6477120;522;9;1442;1355;Guardian;91;true;false;true
1585431582;727;660;true;1;7;0;5289524;8388246;494;10;1391;1381;Guardian;91;true;false;false
1585429004;1803;811;false;0;7;1;5511801;8591043;216;-13;1371;1415;Guardian;91;true;false;false
1585427825;726;789;false;0;5;3;4384878;8278660;255;-14;1457;1413;Guardian;91;true;false;false
1585426490;2245;1008;true;0;1;4;9916830;8691035;473;9;1385;1354;Guardian;91;true;false;false
1585425253;1803;1079;true;2;8;3;9347899;15271125;789;8;1316;1337;Guardian;91;true;false;false
1585344790;1803;889;false;0;11;3;6994744;11242629;181;-13;1409;1443;Guardian;91;true;false;false
1585343566;726;912;true;0;33;0;790993;1307599;655;8;1357;1325;Guardian;91;true;false;false
1585341921;726;1015;false;0;5;5;2828154;9343026;314;-11;1437;1477;Guardian;91;true;false;false
1585339884;761;766;true;0;1;0;1952852;2801423;542;9;1358;1365;Guardian;91;true;false;false
1585337869;2107;787;false;0;0;2;2063238;4566734;200;-10;1470;1526;Guardian;91;true;false;false
1585335682;726;1209;true;0;30;3;3528804;7776360;601;7;1339;1308;Guardian;91;true;false;false
1585334211;1035;679;false;0;15;6;6012483;6784030;234;-13;1500;1426;Guardian;91;true;false;false
1585333134;1035;418;true;2;37;1;2135929;2413910;536;7;1435;1180;Guardian;91;true;false;false
1585332374;1035;343;true;1;23;2;2088589;3078494;810;8;1327;1247;Guardian;91;true;false;false
1585263697;1803;873;true;0;16;3;655054;8675434;500;7;1411;1308;Restoration;91;true;false;false
1585262577;2106;894;false;1;2;3;404189;11247337;175;-10;1463;1516;Restoration;91;true;false;false
1585261114;2245;940;false;0;13;4;181526;8769078;267;-11;1510;1510;Restoration;91;true;false;false
1585259950;727;378;true;1;15;0;174798;2279747;500;31;1503;1354;Restoration;91;true;false;false
1585259418;2106;1208;true;0;21;4;764081;9004159;541;39;1422;1485;Restoration;90;true;false;false
1585257296;566;884;true;2;14;5;603001;11262943;535;40;1456;1500;Restoration;90;true;false;false
1585256178;1035;413;true;0;9;2;308925;3447021;492;30;1413;1437;Restoration;90;true;false;false
1585254733;2106;1207;false;0;13;8;175024;9265090;263;-12;1481;1331;Restoration;90;true;false;false
1585252940;761;1028;true;0;12;4;368791;13364330;562;41;1411;1393;Restoration;90;true;false;false
1585251163;2106;678;false;1;8;3;475193;7982014;206;-7;1497;1473;Restoration;90;true;false;false
1585250208;2106;508;true;0;24;0;174494;4491914;810;31;1413;1427;Restoration;90;true;false;false
1585249450;2106;721;false;0;5;3;192301;6124642;238;-6;1482;1484;Restoration;90;true;false;false
1584828100;726;1098;false;0;12;4;5190006;14942307;292;-3;1530;1600;Guardian;90;true;false;false
1584826602;566;918;true;0;17;0;5731002;7798019;542;17;1437;1425;Guardian;90;true;false;false
1584825102;2245;914;true;1;5;0;4718918;5164942;485;10;1381;1204;Guardian;90;true;false;false
1584823282;2245;977;false;0;1;1;3361070;3841026;242;-18;1221;1066;Guardian;90;true;false;false
1584821270;2106;1068;false;0;21;4;4228490;10724889;257;-11;1264;1312;Guardian;90;true;false;false
1584818944;566;906;false;0;2;4;6809865;11292979;234;-10;1394;1345;Guardian;90;true;false;false
1584817131;2245;1019;true;2;3;1;1777438;3210182;784;6;1328;965;Guardian;90;true;false;false
1584815698;761;731;false;0;1;1;1175455;1850895;252;-6;1424;1504;Guardian;90;true;false;false
1584749475;761;838;false;0;7;3;5180534;6208073;273;-2;1396;1725;Guardian;90;true;false;false
1584748482;726;875;true;0;13;3;2404936;7455423;624;19;1337;1320;Guardian;89;true;false;false
1584747336;2106;501;false;0;1;3;2050796;3067848;142;-4;1363;1576;Guardian;89;true;false;true
1584746172;727;511;true;0;16;0;4766080;3995381;506;10;1319;1204;Guardian;89;true;false;false
1584745025;1035;596;false;0;10;4;4910678;7676054;187;-8;1409;1413;Guardian;89;true;false;false
1584743581;1035;491;true;1;33;2;2653766;4752174;518;17;1308;1409;Guardian;89;true;false;false
1584739513;2245;907;false;1;2;2;8409404;12604392;234;-10;1357;1327;Guardian;89;true;false;false
1584737689;566;772;false;0;6;1;6128496;8951821;190;-5;1450;1506;Guardian;89;true;false;false
1584736678;726;1207;true;1;25;1;2858098;8699841;625;14;1327;1328;Guardian;89;true;false;false
1584734543;1803;1118;false;2;14;1;9068669;13029107;188;-10;1273;1347;Guardian;89;true;false;false
1584732407;2245;868;false;1;7;1;6411958;11517391;238;-10;1328;1357;Guardian;89;true;false;false
1584731302;566;863;false;0;10;2;8868372;11378496;189;-5;1465;1502;Guardian;89;true;false;false
1584730273;1035;588;true;5;32;3;3573184;5968741;521;15;1380;1375;Guardian;89;true;false;false
1584723898;1803;603;false;1;15;1;5481394;5787932;155;-12;1339;1299;Guardian;89;true;false;false
1584722705;2245;961;true;0;4;0;3525288;4207886;782;13;1259;1315;Guardian;89;true;false;true
1584719427;2106;566;false;0;1;2;4326310;8660914;142;-8;1385;1395;Guardian;89;true;false;false
1584717958;1803;782;false;1;20;0;3665988;5889252;274;-7;1390;1440;Guardian;89;true;false;false
1584651368;727;382;false;0;1;0;3437950;5597186;132;-6;1467;1467;Guardian;89;true;false;false
1584650335;1803;854;true;1;37;1;5627959;8730922;534;18;1380;1456;Guardian;89;true;false;false
1584649174;1803;858;true;0;16;2;5075574;7557567;797;12;1291;1263;Guardian;89;true;false;false
1584648106;1035;665;false;1;14;5;4557820;5116436;229;-7;1370;1436;Guardian;89;true;false;false
1584565798;1035;663;false;2;25;4;9052508;7124126;285;-8;1259;1394;Guardian;89;true;false;false
1584563767;2106;506;true;1;19;0;2021820;4711074;514;9;1181;1191;Guardian;89;true;false;false
1584561211;1803;872;false;0;5;3;7147498;10733662;150;-13;1192;1248;Guardian;89;true;false;false
1584559223;1803;1173;false;1;37;5;11448500;14837356;284;-7;1267;1447;Guardian;89;true;false;false
1584556945;727;427;false;0;0;0;3080668;2089471;150;-10;1269;1357;Guardian;89;true;false;true
1584555260;2107;685;false;0;4;2;5403802;8406374;188;-4;1330;1569;Guardian;88;true;false;false
1584552160;1803;1190;false;1;28;4;6891237;10680293;281;-3;1537;1644;Guardian;88;true;false;false
1584550705;761;681;false;0;1;0;0;8353;232;-3;1572;1686;Guardian;88;true;false;false
1584549043;727;641;true;1;8;2;4562060;6537000;793;16;1526;1406;Guardian;88;true;false;false
1584472447;1035;613;false;2;11;4;6176319;7328920;231;-9;1328;1411;Guardian;88;true;false;false
1584470722;566;794;false;0;2;4;6765982;8862749;194;-5;1396;1556;Guardian;88;true;false;false
1584469352;727;702;false;0;7;3;5552826;10109077;272;-5;1500;1538;Guardian;88;true;false;false
1584468002;726;734;true;0;15;1;3798214;9045712;909;16;1390;1410;Guardian;88;true;false;false
1584047708;1035;562;true;0;25;0;5422054;5943622;817;10;1308;1244;Guardian;88;true;false;false
1583603576;1035;446;false;0;4;4;4263210;3471753;167;-7;1357;1455;Guardian;88;true;false;false
1583524276;1803;906;false;1;25;2;6510372;8472755;248;-15;1189;1230;Guardian;88;true;false;false
1583341939;566;448;false;0;1;1;1198038;1550274;143;-1;1418;1818;Guardian;87;true;false;false
1583269056;1035;556;false;0;11;4;3923832;5836428;263;-8;1412;1438;Guardian;87;true;false;false
1583266871;2245;1049;true;0;2;0;391272;1129676;629;54;1363;1323;Guardian;87;true;false;false
1583265379;566;775;false;3;24;0;4441880;6156974;252;-4;1510;1536;Guardian;87;true;false;false
1583264429;761;827;true;3;29;0;4758563;4093923;1201;144;1389;1321;Guardian;87;true;false;false
1583011352;727;492;false;0;1;2;4835612;8224446;223;0;1469;1537;Guardian;86;true;false;false
1583009979;2245;816;false;0;0;0;1070458;1806696;240;0;1536;1659;Guardian;86;true;false;false
1582740663;566;910;false;0;7;1;12649442;14325920;258;0;1570;1634;Guardian;86;true;false;false
1582585554;727;737;true;0;11;2;745035;5265372;498;175;1542;1363;Restoration;86;true;false;false
